item,predicted_class,known_status,source,note
"Tricyclic core (RDKit ring analysis of SMILES)",acridine (assumed by requester),REFUTED by structure analysis,"RDKit 2025.x local analysis (this session)","SSSR ring perception gives ring sizes 7/5/6, not 6/6/6 (acridine) or 6/5/6 (carbazole). Indole substructure match = True; acridine and carbazole substructure matches = False. Fusion is at indole C2-C3 with N adjacent to a benzo-fusion carbon -> cyclohepta[b]indole-type topology (6-5-7), structurally analogous to the parent ring of the old TCA iprindole."
"Acridine (9-aminoacridine/amsacrine) x Pin1",direct Pin1 inhibitor precedent,NOT ESTABLISHED (indirect only),PubMed PMID 27757735 (Apoptosis 2017),"Amsacrine (9-aminoacridine scaffold) disrupts ERK/AKT-driven Pin1-mediated MCL1 stabilization in leukemia cells - pathway-level effect, not shown to bind Pin1 active site directly. No acridine has been reported as a direct Pin1 PPIase-domain ligand in PubMed as of this search."
"Acridine/carbazole x PPIase (any family)",broad chemotype precedent,NOT FOUND for Pin1; unrelated hits for cyclophilin,PubMed search 'carbazole PPIase inhibitor' (12 hits, mostly cyclophilin-D/mitochondrial apoptosis papers unrelated to carbazole chemistry - false positives from MeSH term expansion),"No genuine carbazole-scaffold PPIase inhibitor found. Search noise flagged, not silently discarded."
"Juglone",Pin1 inhibitor (established chemotype),KNOWN/validated,PubMed PMID 28791366 (Oncol Rep 2017),"Naphthoquinone Pin1 inhibitor with anti-glioma activity; classic covalent/reactive Pin1 probe, mechanistically promiscuous (Michael acceptor)."
"EGCG (catechol/gallate)",Pin1 inhibitor,KNOWN/validated,"PubMed PMID 27372509 (Spectrochim Acta A 2016); PMID 21893494 (Cancer Prev Res 2011)","EGCG binds Pin1 WW domain (Glu12/Lys13/Arg14/Met15/Arg17) and PPIase domain (Arg69/Asp112/Cys113/Ser114) per spectroscopy + MD. Urusova et al. (cited in PMID 21893494 editorial) showed direct Pin1 binding and inhibition of enzymatic activity required for EGCG's anticancer effects. Catechol/gallate substructure is mechanistically implicated."
"Catechol - PAINS / frequent hitter",assay-interference liability,KNOWN/validated concern,"PubMed PMID 20131845 (Baell & Holloway, J Med Chem 2010); PMID 26900761 (Baell, J Nat Prod 2016); PMID 30128069 (ACS Med Chem Lett 2018); PMID 29048168 (Kenny, comment/critique, J Chem Inf Model 2017)","Founding PAINS paper (Baell 2010) and follow-up (Baell 2016) explicitly discuss catechols among reactive/frequent-hitter chemotypes. Vidler et al. 2018 (Lilly dataset) found only a subset of original PAINS alerts truly pan-assay promiscuous but confirmed several encode unstable/cytotoxic compounds. Kenny 2017 is a published critique urging caution against blanket PAINS-filter rejection - noted as a counter-view, not silently omitted."
"Catechol - redox cycling / quinone formation / covalent modification",reactive-metabolite liability,KNOWN/validated,"PubMed PMID 27617882 (Bolton & Dunlap, Chem Res Toxicol 2016, review); PMID 19952498 (J Toxicol Sci 2009); PMID 25279998 (Penning, Chem Res Toxicol 2014, review)","Catechols are established substrates for oxidation to ortho-quinones (via P450/AKR or metal-catalyzed autoxidation), which are Michael acceptors that covalently modify protein thiols (e.g., Keap1) and redox-cycle to generate ROS. Directly relevant to interpreting any catechol-containing candidate as carrying an intrinsic reactive-metabolite / covalent-modification liability independent of target engagement."
"Cyclic acyl phosphate (1,3,2-dioxaphospholan-2-one 2-oxide) - hydrolytic stability as a drug/probe",stable enough to survive assay buffer/cell,NOT ESTABLISHED / evidence points to instability,"PubMed PMID 39419499 (Pol et al., JACS 2024)","Directly relevant analog: aminoacyl PHOSPHATE ESTERS (mixed carboxylic-phosphoric anhydrides, same functional class as the candidate's acyl-phosphate ring, though acyclic) have half-lives of HOURS TO DAYS in aqueous media depending on side-chain sterics/electronics - and that is for the more hindered, less strained acyclic case. No PubMed record was found of any cyclic acyl phosphate / dioxaphospholane-2-oxide being used as a marketed drug or a bench-stable probe. General acyl-phosphate biochemistry (acetyl-phosphate, aspartyl-phosphate/E2-P of SERCA, aminoacyl-adenylates) treats this functional group as a deliberately labile high-energy intermediate, not a stable pharmacophore (see PMID 15452115 on P-O bond destabilization accelerating phosphoenzyme hydrolysis)."
"ActivX/desthiobiotin-ATP acyl-phosphate-adjacent probes",precedent for acyl-phosphate-like warheads in chemical biology,KNOWN/validated but NOT the same chemistry,"PubMed PMID 24464431 (J Biomol Screen 2014); PMID 24187138 (J Biol Chem 2013)","ActivX/desthiobiotin-ATP probes covalently label a conserved active-site LYSINE via an acyl-phosphate-like electrophile on the probe's gamma-phosphate; this is a deliberately reactive, short-contact-time labeling reagent for chemoproteomics, not evidence that a cyclic acyl phosphate can survive as a stable, orally- or cell-stable inhibitor scaffold. If anything it reinforces that acyl-phosphate electrophiles are used precisely because they react quickly."
"P-stereogenic phosphorus - synthetic difficulty",routine vs. hard synthesis,ESTABLISHED AS HARD,"PubMed PMID 38954764 (Imamoto, Chem Rev 2024, review); PMID 40963379 (Wang et al., Chem Soc Rev 2025, review); PMID 41398173 (Chem Asian J 2025, review)","Imamoto's Chem Rev (2024) states P-stereogenic ligand chemistry 'remained a small family for many years mainly because of their synthetic difficulty' even after decades of methods development. Wang et al. 2025 (Chem Soc Rev) is specifically about stereocontrolled ProTide/oligonucleotide P-centers (sofosbuvir-class) and frames it as a persistent, non-trivial synthetic + purification challenge requiring specialized chiral auxiliaries/catalysis, not routine chemistry. A stereodefined 5-membered CYCLIC acyl-phosphate with a P-stereocenter is not covered by any of these precedents and would be an even less-precedented target."
